indiv,Field No.,Band No.,Screen,Sample_type,State,Loc,Lat,Long,Stage,Assignment,Collection.Location,Year,Month,Day,Collector.y,final-map-label,fluidigm_genotyped,rad_genotyped,sub_state,fract_missing_loci
2720-46106,,2720-46106,fluidigm,Feather,AL,Fort Morgan,30.25079,-87.9052,Migrant,EST,mixture,2014,SEP,10,Frank Moore,,,,,
2720-46149,,2720-46149,fluidigm,Feather,AL,Fort Morgan,30.25079,-87.9052,Migrant,EST,mixture,2014,SEP,18,Frank Moore,,,,,
2720-46150,,2720-46150,fluidigm,Feather,AL,Fort Morgan,30.25079,-87.9052,Migrant,EST,mixture,2014,SEP,18,Frank Moore,,,,,
2720-46181,,2720-46181,fluidigm,Feather,AL,Fort Morgan,30.25079,-87.9052,Migrant,EST,mixture,2014,SEP,22,Frank Moore,,,,,
2720-46219,,2720-46219,fluidigm,Feather,AL,Fort Morgan,30.25079,-87.9052,Migrant,EST,mixture,2014,SEP,24,Frank Moore,,,,,
2720-46230,,2720-46230,fluidigm,Feather,AL,Fort Morgan,30.25079,-87.9052,Migrant,EST,mixture,2014,SEP,29,Frank Moore,,,,,
2720-47993,,2720-47993,fluidigm,Feather,AL,Fort Morgan,30.25079,-87.9052,Migrant,EST,mixture,2014,SEP,8,Frank Moore,,,,,
07N2607,07N2607,351099772,fluidigm,Feather,IL,"Lily Pool, Lincoln Park, Chicago",41.92496,-87.6338,Migrant,EST,mixture,2007,MAY,15,NA,,,,,
09N0127,09N0127,243077500,fluidigm,Feather,IL,"Lily Pool, Lincoln Park, Chicago",41.92496,-87.6338,Migrant,EST,mixture,2009,MAY,28,NA,,,,,
09N0129,09N0129,243077502,fluidigm,Feather,IL,"Lily Pool, Lincoln Park, Chicago",41.92496,-87.6338,Migrant,EST,mixture,2009,MAY,28,NA,,,,,
16N0244,16N0244,275099226,fluidigm,Feather,MI,Augusta,42.29692,-85.3033,Migrant,EST,mixture,2016,JUN,6,NA,,,,,
08N11120,08N11120,245070885,fluidigm,Feather,MO,Devils Elbow,37.7425,-92.0428,Migrant,EST,mixture,2008,MAY,24,Elly Knight,,,,,
09N0867,09N0867,213021242,fluidigm,Feather,NH,Center Harbor,43.69167,-71.475,Migrant,EST,mixture,2009,SEP,8,John Merrill,,,,,
16N1176,16N1176,2770-46707,fluidigm,Feather,NM,White Rock,35.8361,-106.2558,Migrant,EST,mixture,2016,AUG,25,Chuck Hathcock,,,,,
08N30865,08N30865,249009557,fluidigm,Feather,NM,Albuquerque,35.0125,-106.46,Migrant,EST,mixture,2008,AUG,30,Steve Cox,,,,,
10N10949,10N10949,261022228,fluidigm,Feather,RI,KINGSTON,41.47776,-71.5108,Migrant,EST,mixture,2010,SEP,20,James Junda,,,,,
