comparison	number_markers
ada_pure vs brew_pure	24
ada_pure vs ext_Kern	4
ada_pure vs ext_pure	12
ada_pure vs ext_WhiteM	4
ada_pure vs tra_pure	12
brew_pure vs ext_Kern	4
brew_pure vs ext_pure	12
brew_pure vs ext_WhiteM	0
brew_pure vs tra_pure	12
ext_Kern vs tra_pure	0
ext_pure vs tra_pure	12
ext_WhiteM vs tra_pure	0
ada_North vs ada_south	6
brew_North vs brew_South	6
ext_East_WM vs ext_NW_Kern	4
ext_East_WM vs ext_pure	4
ext_East_WM vs ext_SW_SD	4
ext_NW_Kern vs ext_pure	6
ext_NW_Kern vs ext_SW_SD	4
ext_pure vs ext_SW_SD	4
tra_east vs tra_west	6
